stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,454.21,51.61,0,0,61.94,0,0,103.23,1094.23,72.26
12hpf,227.47,21.21,0,59.76,65.54,17.35,0,188.92,1069.9,65.54
14hpf,364.48,0,3.34,93.63,20.06,23.41,3.34,16.72,708.9,177.22
16hpf,168.17,16.41,4.1,63.58,38.97,20.51,4.1,18.46,678.82,231.74
19hpf,308.68,0,0,59.11,26.27,15.32,21.89,35.03,400.62,247.38
24hpf,143,5,5,44,34,21,19,1,434,109
2dpf,441.23,7.51,25.86,116.77,210.19,442.89,63.39,13.35,212.69,487.93
3dpf,1862.42,50.57,85.05,94.24,131.59,1352.71,53.44,0.57,131.59,563.15
5dpf,299.76,66.15,128.69,184.51,87.86,1004.2,72.87,127.66,288.91,1846.63
10dpf,1181.64,66.52,98.52,107.94,31.38,458.73,31.38,1.26,92.25,309.37
