stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,1.67,0,0,0.83,0,8.34
3dpf,2.3,0,0.57,0.57,0,3.45
5dpf,0,0.52,0.52,5.17,0.52,31.53
10dpf,1.26,2.51,0,0,0,5.02
