stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme
19hpf,0,0,2.19,0,0
24hpf,0,0,19,0,0
2dpf,0,0,8.34,0,0.83
3dpf,0,0,0,0,0.57
5dpf,0,0.52,83.21,0,1.03
10dpf,1.26,2.51,101.03,0.63,1.26
