stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest,periderm
2dpf,0.83,0,0.83,0,6.67
3dpf,0.57,0.57,0,0,0.57
5dpf,0,3.62,0,1.55,21.19
10dpf,0.63,3.77,0.63,0,4.39
