stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,30.97,20.65,0,41.29,0
12hpf,0,0,0,0,36.63,11.57,0,26.99,0
14hpf,0,0,0,0,13.38,26.75,0,46.81,3.34
16hpf,2.05,0,0,0,10.25,14.36,0,61.52,2.05
19hpf,0,0,0,0,15.32,15.32,0,24.08,0
24hpf,6,0,0,1,44,32,0,11,0
2dpf,16.68,1.67,0,0,115.94,360.32,0.83,83.41,1.67
3dpf,23.56,2.3,0,1.15,3.45,170.09,0.57,37.35,0.57
5dpf,2.58,0,3.1,6.2,2.07,115.77,0.52,23.26,2.07
10dpf,10.67,0,1.26,3.14,0,38.28,1.26,10.04,0
