stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,51.61
12hpf,0,0,0,0,0,0,0,0,7.71
14hpf,3.34,0,0,0,0,0,0,0,290.92
16hpf,0,0,0,2.05,0,0,0,0,51.27
19hpf,0,0,0,0,0,0,0,0,177.32
24hpf,1,0,0,0,0,0,0,0,32
2dpf,10.84,3.34,0.83,3.34,2.5,4.17,0.83,0.83,231.87
3dpf,10.34,5.75,0,1.15,0,1.72,0,0.57,76.43
5dpf,13.44,11.89,0.52,15.5,0,3.62,0,1.55,280.12
10dpf,8.79,13.81,0.63,5.02,0.63,1.88,0,1.26,128.02
