stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,20.65,0,0,0,20.65,0,0,165.17,103.23
12hpf,0,0,0,0,0,0,0,9.64,1.93
14hpf,10.03,0,0,0,50.16,20.06,0,177.22,43.47
16hpf,0,0,0,0,8.2,0,0,18.46,6.15
19hpf,21.89,0,0,0,6.57,8.76,0,19.7,4.38
24hpf,5,0,0,0,2,6,0,1,2
2dpf,4.17,0,0,1.67,13.35,49.21,0.83,5.84,2.5
3dpf,44.25,0,0,0,0,110.33,0,0.57,1.72
5dpf,0,0.52,0,0.52,1.03,40.31,0,1.55,0.52
10dpf,25.1,0,0.63,1.26,0,47.69,0,0.63,1.26
