stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,61.94,0,10.32,0,0,0,0,0,0,20.65
12hpf,15.42,1.93,0,0,5.78,0,0,3.86,9.64,5.78
14hpf,107,0,10.03,3.34,33.44,10.03,3.34,13.38,46.81,20.06
16hpf,75.88,6.15,8.2,14.36,43.07,8.2,4.1,0,77.93,18.46
19hpf,223.3,2.19,0,0,17.51,8.76,6.57,0,17.51,4.38
24hpf,82,2,9,4,22,11,3,0,43,10
2dpf,370.33,5,53.38,75.9,170.99,296.1,43.37,7.51,125.11,143.46
3dpf,950.46,13.22,32.18,32.18,34.48,343.06,13.22,0.57,26.43,66.66
5dpf,122.49,15.5,85.79,109.05,33.08,314.75,25.84,19.64,74.42,230.51
10dpf,554.74,40.16,90.36,66.52,23.85,244.74,23.22,0,46.44,60.24
