stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,2.5,0,0.83,0.83,0
3dpf,6.9,0,0.57,1.15,0
5dpf,0,0.52,0,2.07,2.07
10dpf,10.67,0,0,0,0
