stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
24hpf,0,0,0,0,0,0,0,0,1
2dpf,12.51,0,0.83,1.67,5,1.67,1.67,0,89.25
3dpf,37.93,1.15,0,1.72,1.15,1.72,0,0.57,13.22
5dpf,16.02,1.03,1.55,1.03,4.13,1.55,0,0.52,67.19
10dpf,8.79,0,0,0,2.51,0,0,0,16.32
