stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
12hpf,0,0,0,0,0,1.93,0,0,0,0
14hpf,3.34,0,0,0,0,0,0,0,3.34,0
16hpf,2.05,0,0,4.1,0,2.05,2.05,2.05,6.15,6.15
19hpf,2.19,0,0,0,0,0,0,0,0,2.19
24hpf,7,0,2,3,3,1,1,0,2,2
2dpf,141.79,0,15.85,27.52,61.72,132.62,18.35,5.84,47.54,88.41
3dpf,601.08,14.94,12.64,17.24,20.11,298.24,12.07,0,20.69,39.65
5dpf,79.07,10.34,23.77,36.18,19.64,195.36,23.26,8.79,35.66,150.91
10dpf,330.08,20.71,39.53,27.61,13.18,225.91,12.55,0,21.96,48.95
