stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,41.29,0,0,0,0,0,0,10.32,10.32,20.65
12hpf,55.9,7.71,0,1.93,13.49,1.93,0,1.93,11.57,9.64
14hpf,66.88,0,0,6.69,10.03,6.69,0,0,3.34,6.69
16hpf,71.78,0,0,6.15,10.25,8.2,0,0,4.1,6.15
19hpf,151.05,0,0,6.57,8.76,2.19,4.38,0,2.19,0
24hpf,154,1,2,2,24,11,3,1,11,5
2dpf,372,0.83,45.04,33.36,111.77,220.2,26.69,2.5,65.06,44.21
3dpf,2281.92,5.17,34.48,13.22,18.96,359.15,10.92,0,17.81,19.54
5dpf,229.99,10.85,45.48,77.52,34.63,454.29,25.32,16.54,69.26,123.52
10dpf,951.34,11.92,111.07,35.14,10.67,242.86,20.08,0,30.75,19.45
