stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,30.97,0,0,0,0,0,0,0,0,0
12hpf,32.77,0,0,3.86,7.71,3.86,0,0,21.21,11.57
14hpf,20.06,0,0,0,3.34,3.34,0,0,20.06,3.34
16hpf,57.42,0,0,2.05,16.41,6.15,2.05,2.05,43.07,10.25
19hpf,81,0,0,0,6.57,2.19,2.19,0,8.76,0
24hpf,88,3,2,1,25,10,0,0,16,3
2dpf,104.26,2.5,2.5,18.35,60.05,49.21,8.34,0.83,19.18,45.04
3dpf,108.61,4.02,0,2.87,1.15,23.56,1.15,0,3.45,5.17
5dpf,36.18,0.52,7.24,6.72,7.75,65.64,3.62,3.1,14.99,37.73
10dpf,77.19,3.14,3.77,8.79,5.02,63.38,3.14,0.63,17.57,8.16
