stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,periderm
3dpf,10.92,0,0,0,0,0,0
5dpf,2.07,0.52,1.03,0.52,0.52,0.52,0
10dpf,17.57,0,0,1.26,0,0,0.63
