stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,10.32,0,216.78,10.32,0,20.65,495.5,10.32
12hpf,11.57,3.86,36.63,239.04,34.7,0,104.1,1075.68,1.93
14hpf,0,0,3.34,6.69,0,0,0,46.81,0
16hpf,0,0,0,0,0,0,0,6.15,0
19hpf,0,0,2.19,0,0,0,0,0,0
24hpf,0,0,0,0,0,0,0,1,0
2dpf,1.67,0,0,0.83,2.5,0,0,0.83,0
3dpf,15.52,0,0.57,0,2.3,0.57,0,0,0.57
5dpf,0,1.03,0,0.52,5.69,0,0,0.52,0
10dpf,2.51,0.63,0.63,0,2.51,0,0,0,0
