stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,0,0,1.67,0,20.02
3dpf,0.57,0,0,0,5.75,1.15,5.75
5dpf,1.55,0.52,0.52,0.52,11.37,1.03,40.83
10dpf,0.63,0,0,0,3.77,0.63,0
