stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,paraxial_mesoderm,periderm
2dpf,2.5,5,0,0.83,0,0
3dpf,1.15,1.72,0,0,0,0
5dpf,1.55,11.37,0,0,0,1.03
10dpf,7.53,56.48,1.26,0.63,0.63,2.51
