stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
24hpf,2,0,0,0,0,0,0
2dpf,2.5,0,0.83,0,0,0,0
3dpf,11.49,1.15,0,3.45,0.57,0,1.15
5dpf,0,0,0,0.52,0,0.52,0.52
10dpf,1.26,0,0,1.26,0,0,0
