stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0,0,0.83,3.34,0,0.83
3dpf,0,0,0,1.15,0,0.57
5dpf,0,1.03,0,3.1,0.52,1.03
10dpf,1.88,7.53,0,0,0,0
