stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,20.65,0,0,0,0
12hpf,5.78,5.78,0,61.69,134.94,3.86,0,0,38.56
14hpf,10.03,6.69,6.69,33.44,10.03,3.34,0,0,46.81
16hpf,32.81,16.41,0,4.1,10.25,2.05,0,2.05,63.58
19hpf,15.32,0,0,0,13.14,2.19,0,0,52.54
24hpf,15,3,2,0,33,1,0,7,34
2dpf,91.75,1.67,0.83,2.5,63.39,115.1,0.83,18.35,20.85
3dpf,17.81,2.3,5.75,1.72,40.8,259.16,0,1.72,5.75
5dpf,23.77,3.1,0,4.13,16.54,133.86,0,7.75,9.3
10dpf,11.3,0.63,8.79,1.26,12.55,58.99,0,1.26,1.88
