stage,hematopoietic_system,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,0,5
3dpf,0.57,0.57,0.57,1.15
5dpf,0,0.52,0,3.62
10dpf,1.26,0,0,0
