stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest
24hpf,0,5,0,0,0
2dpf,0.83,27.52,0,0,0.83
3dpf,0.57,5.75,0,0,0
5dpf,0.52,68.22,0.52,0.52,0
10dpf,0,36.4,0,0,0
