stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,notochord,periderm
19hpf,0,0,2.19,0,0,0,0
24hpf,0,0,17,0,0,0,0
2dpf,0,0,47.54,0.83,2.5,0.83,0
3dpf,4.02,1.15,12.07,0,0.57,0,0.57
5dpf,0.52,0,93.55,0.52,3.1,0,0.52
10dpf,1.26,1.26,51.46,0,2.51,0,0
