stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,0.83,0,0,0,0.83,0.83
3dpf,1.15,1.15,0,0,0,2.3
5dpf,0.52,0,1.55,0.52,1.55,14.99
10dpf,0,0,1.88,0,0.63,10.67
