stage,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,periderm
2dpf,0,5.84,0.83,0
3dpf,0,3.45,0,0
5dpf,0,2.58,0,0.52
10dpf,0.63,2.51,0,0
