stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,2.5,0,0,0.83,2.5,0.83
3dpf,10.34,0.57,0,0,1.72,0
5dpf,0,1.03,0,0,2.07,0
10dpf,10.04,0,1.26,0,1.26,0
