stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,185.81,0,10.32,0,41.29,0,0,10.32,51.61,20.65
12hpf,254.46,7.71,15.42,0,67.47,7.71,0,7.71,32.77,53.98
14hpf,247.45,3.34,20.06,46.81,103.66,10.03,0,3.34,13.38,23.41
16hpf,100.49,8.2,0,10.25,84.08,6.15,2.05,0,14.36,26.66
19hpf,288.97,0,0,2.19,19.7,6.57,0,0,0,10.95
24hpf,95,0,0,1,13,4,1,1,4,8
2dpf,266.9,4.17,4.17,25.02,92.58,172.65,10.01,2.5,59.22,33.36
3dpf,711.41,2.87,1.15,7.47,14.37,167.22,6.32,0,6.32,16.66
5dpf,109.57,2.07,4.65,18.09,14.47,162.8,8.27,6.2,22.22,77.52
10dpf,529.64,6.9,6.9,16.94,8.79,158.77,5.65,0,15.69,12.55
