stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,1.67,0,0.83,0,4.17,2.5
3dpf,13.79,0,0,0.57,1.72,0
5dpf,0.52,0,0,2.07,5.69,0
10dpf,6.9,0.63,0,0,0.63,0
