stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0,0,0,0,0,0.83
3dpf,0.57,0,0.57,0,1.72,0.57
5dpf,0,0,0,0.52,2.07,0
10dpf,0.63,0.63,0,0,3.14,0.63
