stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,0,72.26
12hpf,0,0,0,0,0,0,0,3.86,0,79.04
14hpf,26.75,3.34,0,0,13.38,0,0,0,0,541.71
16hpf,53.32,20.51,0,12.3,18.46,0,4.1,10.25,2.05,830.58
19hpf,41.59,2.19,8.76,21.89,15.32,2.19,2.19,10.95,0,1035.48
24hpf,25,12,118,43,151,55,11,3,36,527
2dpf,242.72,22.52,98.42,154.3,573.01,1043.43,100.09,40.87,226.87,916.65
3dpf,108.61,27.58,60.91,65.51,77,1121.71,10.92,0.57,49.42,235.6
5dpf,153.5,47.55,291.49,220.69,95.61,1145.29,40.83,56.85,153.5,1008.85
10dpf,57.73,20.08,213.99,104.17,63.38,512.07,20.08,0.63,51.46,165.04
