stage,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,0,0.83,0,5
3dpf,0,0.57,0,0,0.57,1.15
5dpf,0.52,1.55,0.52,1.03,0,6.2
10dpf,0,0,0.63,0,0,3.77
