stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,1.67,0,0,0,0
3dpf,1.15,0,0,0.57,0.57,0,0
5dpf,0,0,35.66,0,1.03,0,1.55
10dpf,2.51,0.63,16.32,0,0,0.63,0.63
