stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
24hpf,0,1,0,0,0,0,0
2dpf,0.83,5,0.83,0,0,0,3.34
3dpf,1.15,1.72,0,0.57,0,0,1.72
5dpf,0,9.82,0,0.52,0.52,0,3.62
10dpf,0.63,3.77,0,1.88,0,0.63,2.51
