stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0,8.34,0,0,0.83,0
3dpf,0.57,4.6,0,0,2.3,0
5dpf,0,26.36,1.03,0.52,0.52,1.03
10dpf,0.63,17.57,0.63,0,4.39,0
