stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme
2dpf,0,0,0,0.83
3dpf,5.75,0,0,1.15
5dpf,0,2.07,0.52,0.52
10dpf,3.77,0.63,0,0
