stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,10.32,0,0,0,0,0
12hpf,28.92,9.64,0,30.84,15.42,0,0,19.28,40.48,55.9
14hpf,23.41,0,13.38,26.75,16.72,3.34,0,13.38,13.38,123.72
16hpf,65.63,4.1,32.81,36.91,45.12,10.25,0,14.36,57.42,127.15
19hpf,76.62,0,13.14,17.51,28.46,2.19,2.19,13.14,10.95,72.24
24hpf,65,2,17,31,38,10,11,2,54,54
2dpf,265.24,2.5,32.53,55.88,135.95,352.81,45.87,18.35,140.12,184.33
3dpf,647.05,32.75,45.4,30.46,41.37,549.36,14.37,0,36.2,94.82
5dpf,134.38,24.29,75.46,83.73,37.73,463.08,33.08,29.98,88.38,416.56
10dpf,380.91,59.62,83.46,75.93,25.73,503.91,20.71,0,70.91,70.28
