stage,central_nervous_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,4.17,1.67,0.83,0.83
3dpf,5.17,0.57,0.57,0
5dpf,0,0.52,0,0
10dpf,1.26,0,0,0
