stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,103.23,10.32,0,392.27,0
12hpf,0,0,0,1.93,84.82,11.57,0,325.79,0
14hpf,0,0,0,0,46.81,3.34,0,310.98,0
16hpf,0,0,0,0,104.59,2.05,0,381.45,2.05
19hpf,0,0,0,0,39.41,0,0,133.54,0
24hpf,6,0,2,1,19,1,0,1105,6
2dpf,30.03,0,2.5,5,14.18,10.84,5,81.74,10.01
3dpf,3.45,0.57,1.15,0.57,0.57,1.72,0,22.99,1.15
5dpf,0,0,2.58,1.03,1.03,4.13,0.52,39.8,3.62
10dpf,3.77,0.63,0,0.63,0,4.39,0,21.96,1.26
