stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,4108.53,92.91,30.97,0,619.38,41.29,0,175.49,1311.01,1692.96
12hpf,3789.96,134.94,28.92,104.1,1052.55,202.41,9.64,327.72,1709.91,1409.19
14hpf,3691.63,60.19,170.54,244.1,852.69,397.92,56.85,123.72,1173.7,1825.75
16hpf,2598.39,137.4,174.32,180.47,916.72,344.54,79.98,190.73,912.61,1732.94
19hpf,2961.97,43.78,63.49,113.84,481.62,199.22,111.65,70.05,267.08,1300.38
24hpf,1554,29,215,119,512,229,128,26,283,474
2dpf,849.92,25.02,80.91,152.64,558,1015.9,126.78,40.04,281.92,491.27
3dpf,2620.96,60.34,47.7,78.15,89.07,1076.88,45.97,0.57,85.05,181.59
5dpf,297.69,59.95,121.97,163.83,81.14,791.78,65.12,50.65,171.07,573.16
10dpf,1022.25,88.48,160.02,142.45,68.4,802.61,47.69,2.51,146.22,183.24
