stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0,0,1.67,0,0,4.17
3dpf,2.3,0,3.45,0,0,0
5dpf,0,0.52,5.69,2.58,0.52,0.52
10dpf,5.02,0,3.14,0,0,1.26
