stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0.83,2.5,0.83,1.67,0,0.83
3dpf,6.9,1.15,0,5.75,0.57,0.57
5dpf,0,10.85,0.52,0,0,0
10dpf,1.26,6.28,0,1.26,0,0
