stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,10.32
12hpf,0,1.93,0,0,0,0,0,0,1.93
14hpf,0,0,3.34,0,0,0,0,0,80.25
16hpf,0,2.05,0,0,0,0,0,0,8.2
19hpf,0,0,0,0,0,0,0,0,32.84
24hpf,0,0,0,0,0,0,0,0,13
2dpf,22.52,0.83,0.83,0.83,1.67,3.34,8.34,0,193.51
3dpf,22.99,5.17,0,1.15,0,4.6,0,0,120.1
5dpf,28.94,7.75,0.52,4.13,1.55,10.85,1.03,2.58,293.56
10dpf,13.18,6.9,0.63,3.14,0.63,4.39,1.26,0,83.46
