stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,144.52
12hpf,0,0,0,0,0,0,0,0,7.71
14hpf,0,0,0,0,0,0,0,0,331.04
16hpf,4.1,4.1,0,0,0,0,4.1,0,24.61
19hpf,0,0,0,0,0,0,0,0,468.49
24hpf,0,1,0,0,0,0,0,0,40
2dpf,5,0.83,0,0.83,0.83,5,0.83,2.5,75.07
3dpf,21.84,0.57,0.57,0,1.72,7.47,0,1.15,37.35
5dpf,3.1,16.54,1.03,0.52,0.52,2.07,0,0.52,94.58
10dpf,3.77,10.04,1.26,0.63,0,1.26,0,0,20.08
