stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,392.27,0,0,0,10.32,0,0,0,402.59
12hpf,53.98,0,0,0,21.21,1.93,1.93,9.64,256.39
14hpf,113.69,6.69,6.69,0,3.34,0,0,3.34,250.79
16hpf,36.91,8.2,0,0,2.05,2.05,0,8.2,47.17
19hpf,10.95,0,0,0,0,0,0,0,24.08
24hpf,3,1,0,0,2,0,0,0,4
2dpf,13.35,0,1.67,4.17,29.19,49.21,0,5,19.18
3dpf,6.9,1.72,0.57,2.87,1.72,86.2,0.57,1.15,6.9
5dpf,4.65,0.52,0.52,6.2,3.62,73.91,0.52,3.1,13.95
10dpf,3.14,0,0,2.51,0,23.22,0,0.63,1.26
