stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,41.29
12hpf,0,1.93,1.93,0,0,0,0,0,17.35
14hpf,3.34,0,0,0,0,0,0,0,274.2
16hpf,22.56,2.05,0,0,0,0,0,0,43.07
19hpf,17.51,0,0,0,0,0,0,0,247.38
24hpf,4,0,0,0,0,0,0,1,19
2dpf,34.2,2.5,0,0.83,0,6.67,0,0.83,310.28
3dpf,28.16,2.3,0.57,1.15,1.72,6.9,0,0.57,189.06
5dpf,41.35,3.1,1.03,3.1,0,7.75,1.03,2.58,347.83
10dpf,6.9,1.88,1.26,0,0,1.88,0,0,43.3
