stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,10.32,0
12hpf,17.35,17.35,0,1.93,1.93,0,0,0,7.71,1.93
14hpf,133.75,26.75,0,0,6.69,0,0,0,76.91,46.81
16hpf,143.56,28.71,0,4.1,53.32,10.25,2.05,0,157.91,106.64
19hpf,481.62,6.57,0,10.95,59.11,10.95,48.16,0,144.49,155.43
24hpf,417,11,40,9,61,22,29,0,622,142
2dpf,240.21,14.18,56.72,63.39,97.59,199.34,58.39,1.67,224.37,92.58
3dpf,1434.31,45.4,48.84,50.57,18.39,244.8,18.39,0,46.55,141.36
5dpf,548.87,75.46,243.94,363.85,103.37,1407.84,93.55,73.91,359.71,1276.05
10dpf,1930.92,81.58,228.42,262.31,77.19,1088.14,75.93,3.14,207.09,288.67
