stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,10.32,0,227.1,0,10.32,0,61.94
12hpf,7.71,17.35,0,1.93,320.01,0,9.64,3.86,46.27
14hpf,0,3.34,16.72,0,217.35,0,20.06,0,23.41
16hpf,0,2.05,0,0,242,0,14.36,0,2.05
19hpf,0,0,0,0,54.73,0,2.19,0,0
24hpf,1,0,0,0,12,0,0,0,0
2dpf,0,0,0,0,0,0.83,0,1.67,1.67
3dpf,2.3,0,0,0,0,1.15,0,0,0.57
5dpf,0,0,0,0.52,0.52,3.62,0.52,1.03,1.55
10dpf,8.16,0,0,1.88,1.26,1.26,0,0,0.63
