stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0
12hpf,44.34,0,0,0,0,0,0,0,0
14hpf,23.41,0,0,6.69,0,0,0,0,0
16hpf,55.37,0,0,8.2,0,0,0,0,4.1
19hpf,35.03,0,0,6.57,0,0,0,0,0
24hpf,17,0,0,1,0,0,0,1,0
2dpf,98.42,0.83,1.67,8.34,10.84,16.68,1.67,3.34,5.84
3dpf,61.49,1.72,0.57,2.87,0,11.49,0.57,1.15,2.87
5dpf,43.41,0,4.65,4.65,0.52,8.27,1.55,3.1,9.82
10dpf,23.22,0,0,2.51,1.26,3.77,0,1.26,0.63
