stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,320.01,0,0,0,51.61,0,0,144.52,134.2
12hpf,42.41,1.93,0,0,7.71,0,0,5.78,13.49
14hpf,150.47,0,10.03,0,20.06,0,0,23.41,13.38
16hpf,110.74,6.15,0,2.05,30.76,0,4.1,20.51,34.86
19hpf,1331.02,4.38,4.38,10.95,120.41,0,2.19,39.41,118.22
24hpf,241,2,4,7,61,1,1,8,19
2dpf,220.2,3.34,9.17,11.68,190.17,27.52,6.67,23.35,24.19
3dpf,337.32,1.72,2.3,2.3,2.3,10.34,0,4.02,4.6
5dpf,16.54,0,9.82,1.03,11.37,7.75,0.52,8.27,7.24
10dpf,31.38,0,4.39,0,0.63,0,0,1.26,0
