stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,1393.6,20.65,0,0,247.75,0,0,0,536.79,598.73
12hpf,306.51,7.71,0,5.78,82.89,0,0,1.93,113.74,69.4
14hpf,183.91,0,6.69,0,23.41,0,0,0,43.47,23.41
16hpf,317.88,8.2,4.1,14.36,86.13,0,2.05,4.1,102.54,79.98
19hpf,1900.21,4.38,4.38,8.76,183.89,0,17.51,0,72.24,126.97
24hpf,457,1,11,4,109,4,2,0,12,32
2dpf,480.43,7.51,22.52,32.53,462.91,100.92,19.18,2.5,49.21,66.73
3dpf,513.73,4.02,0.57,4.02,6.9,33.33,2.87,0,4.02,6.9
5dpf,37.21,1.03,20.16,4.13,35.14,21.19,2.58,0.52,22.22,16.02
10dpf,51.46,1.26,5.02,0,1.26,5.02,0,0,0.63,0
