stage,central_nervous_system,hematopoietic_system,paraxial_mesoderm,periderm
2dpf,0,3.34,0,0
3dpf,26.43,1.72,0,0.57
5dpf,0.52,13.44,1.03,2.58
10dpf,3.77,12.55,0,0.63
