stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,paraxial_mesoderm,periderm
2dpf,0.83,0,0,0.83,0.83,3.34
3dpf,0,0,1.15,0,0,0
5dpf,0.52,0,2.58,0,0,1.03
10dpf,0,0.63,5.65,0,0,0
