stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0,0,0,0.83,0,0,0
3dpf,6.9,0,0,0,0,0,0
5dpf,1.55,0.52,0,0,6.72,0.52,1.55
10dpf,1.26,0,0.63,0,3.77,0,0.63
