stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
24hpf,0,0,0,0,1,0,0
2dpf,0.83,0,0,8.34,66.73,0,0.83
3dpf,0.57,0,0,0,35.05,0,0.57
5dpf,0,1.03,0.52,0.52,31.01,0,0
10dpf,0,0,1.26,0,10.67,0.63,1.26
