stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
24hpf,1,0,0,0,0,0
2dpf,2.5,0,0,1.67,2.5,0.83
3dpf,12.07,0,0,0,0,0
5dpf,4.13,0,1.03,0.52,0.52,0
10dpf,5.65,4.39,0,1.26,0.63,18.83
