stage,Epithelial,Immune,Muscle,Other,Secretory,Stromal
72hpf,1.13,0,0,0,0,0
21Day,1.85,0.37,0,0,0.37,0.37
3Month,3.02,0.21,0.1,0,0,0
22Month,1.09,0.14,0,0.14,0,0
