stage,Epithelial,Erythroid,Germ,Neuron,Stromal
24hpf,0,0,0,4,0
72hpf,0.28,0.28,0,3.95,0
21Day,0.37,0,0,3.7,0.37
3Month,0.1,0,0.21,0.1,0.1
22Month,0.55,0,0,0,0
