stage,Endothelial,Epithelial,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,1,0,1
72hpf,0,0.28,0,0.28,0.28,0
21Day,0,0.37,0.37,0.74,0,2.22
3Month,0.1,0,0,0,0,0
