stage,Endothelial,Epithelial,Erythroid,Muscle,Neuron,Stromal
24hpf,0,1,0,0,15,4
72hpf,0,0.28,0,0,1.13,0.56
21Day,0.37,1.11,0.37,0.37,3.33,1.48
