stage,Endothelial,Epithelial,Erythroid,Immune,Neuron
24hpf,0,2,0,0,0
72hpf,0,2.82,0.28,0,0.28
21Day,0.37,10.36,0,0.37,0
3Month,0,0.31,0,0,0
22Month,0,0.41,0,0,0
