stage,Epithelial,Germ,Immune,Secretory,Stromal
72hpf,1.41,0,0,0,0
21Day,2.59,0,0.37,0,0
3Month,3.43,0.1,0.52,0.1,0.21
22Month,0.41,0,0,0,0
