stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,11,1,0,0,0,31,1,3
72hpf,0,6.2,1.13,0,0,0.28,16.35,0,1.13
21Day,0,4.81,4.81,0,0,0.37,10.36,0.74,0.74
3Month,0.1,25.9,0.1,110.99,4.06,0.42,5.2,0.52,1.56
22Month,0,8.34,0,1.78,1.09,0,0.27,0,0.14
