stage,Endothelial,Epithelial,Erythroid,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,1,0,0
72hpf,0.28,0.56,0,0,0.56,0,3.38
21Day,1.11,0.37,0.37,1.85,1.11,0.37,7.03
