stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Stromal
24hpf,1,0,0,0,1,0
72hpf,0,0.56,0.28,0,2.25,0.28
21Day,0.37,0,0,0,1.11,0.37
3Month,0.1,0,0.1,0.1,0,0
